year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1991,66,131,Mercer,14,Central,Mostly Rural,77.8,21510,4,NA,NA,NA,3,1,1,NA,4,1,18.6,NA,NA,NA,13.9,4.6,4.6,NA,18.6,4.6
1991,67,133,Monroe,20,Southern,Mostly Urban,41.4,28864,12,1,1,1,9,NA,1,NA,12,2,41.6,3.5,3.5,3.5,31.2,NA,3.5,NA,41.6,6.9
1991,68,135,Montgomery,4,Central,Mostly Urban,41.6,38053,34,2,NA,6,21,5,11,3,31,13,89.3,5.3,NA,15.8,55.2,13.1,28.9,7.9,81.5,34.2
1991,69,137,Morgan,7,Central,Mostly Urban,36.2,44998,36,8,NA,11,15,2,13,1,35,9,80,17.8,NA,24.4,33.3,4.4,28.9,2.2,77.8,20
1991,70,139,Moultrie,6,Central,Mostly Rural,69.2,17380,18,3,NA,1,10,4,5,NA,18,1,103.6,17.3,NA,5.8,57.5,23,28.8,NA,103.6,5.8
1991,71,141,Ogle,15,Northern - Other,Mostly Urban,47.1,59115,28,5,1,4,13,5,9,1,27,9,47.4,8.5,1.7,6.8,22,8.5,15.2,1.7,45.7,15.2
1991,72,143,Peoria,10,Central,Mostly Urban,14.6,229640,304,53,6,81,131,33,106,33,271,48,132.4,23.1,2.6,35.3,57,14.4,46.2,14.4,118,20.9
1991,73,145,Perry,20,Southern,Mostly Urban,43.6,26658,8,2,NA,2,3,1,3,1,7,5,30,7.5,NA,7.5,11.3,3.8,11.3,3.8,26.3,18.8
1991,74,147,Piatt,6,Central,Mostly Rural,67.7,19371,6,NA,NA,NA,5,1,1,NA,6,1,31,NA,NA,NA,25.8,5.2,5.2,NA,31,5.2
1991,75,149,Pike,8,Central,Mostly Rural,72.3,21564,17,4,NA,2,10,1,3,1,16,5,78.8,18.5,NA,9.3,46.4,4.6,13.9,4.6,74.2,23.2
1991,76,151,Pope,1,Southern,Completely Rural,100,5301,3,NA,NA,1,2,NA,1,NA,3,NA,56.6,NA,NA,18.9,37.7,NA,18.9,NA,56.6,NA
1991,77,153,Pulaski,1,Southern,Completely Rural,100,9520,5,NA,NA,1,2,2,3,1,4,6,52.5,NA,NA,10.5,21,21,31.5,10.5,42,63
1991,78,155,Putnam,10,Central,Completely Rural,100,7199,2,NA,NA,NA,2,NA,NA,NA,2,NA,27.8,NA,NA,NA,27.8,NA,NA,NA,27.8,NA
1991,79,157,Randolph,20,Southern,Mostly Urban,42.6,42329,23,3,3,4,10,3,7,NA,23,5,54.3,7.1,7.1,9.4,23.6,7.1,16.5,NA,54.3,11.8
1991,80,159,Richland,2,Southern,Mostly Urban,43.5,20618,28,6,1,5,14,2,7,4,24,2,135.8,29.1,4.9,24.3,67.9,9.7,34,19.4,116.4,9.7
1991,81,161,Rock Island,14,Central,Mostly Urban,10.9,185406,191,54,8,29,90,10,39,19,172,17,103,29.1,4.3,15.6,48.5,5.4,21,10.2,92.8,9.2
1991,82,163,St. Clair,20,Southern,Mostly Urban,9.8,332269,397,119,2,109,151,16,125,31,366,101,119.5,35.8,0.6,32.8,45.4,4.8,37.6,9.3,110.2,30.4
1991,83,165,Saline,1,Southern,Mostly Urban,43.7,32456,32,4,1,8,15,4,12,2,30,8,98.6,12.3,3.1,24.6,46.2,12.3,37,6.2,92.4,24.6
1991,84,167,Sangamon,7,Central,Mostly Urban,14.1,225356,136,36,1,35,55,9,44,11,125,76,60.3,16,0.4,15.5,24.4,4,19.5,4.9,55.5,33.7
1991,85,169,Schuyler,8,Central,Mostly Rural,57.6,9260,2,NA,NA,NA,2,NA,NA,NA,2,NA,21.6,NA,NA,NA,21.6,NA,NA,NA,21.6,NA
1991,86,171,Scott,7,Central,Completely Rural,100,6956,3,NA,NA,1,2,NA,1,NA,3,NA,43.1,NA,NA,14.4,28.8,NA,14.4,NA,43.1,NA
1991,87,173,Shelby,4,Central,Mostly Rural,77.7,27836,19,2,1,2,12,2,4,2,17,5,68.3,7.2,3.6,7.2,43.1,7.2,14.4,7.2,61.1,18
1991,88,175,Stark,10,Central,Completely Rural,100,8020,4,1,NA,NA,1,2,2,NA,4,NA,49.9,12.5,NA,NA,12.5,24.9,24.9,NA,49.9,NA
1991,89,177,Stephenson,15,Northern - Other,Mostly Urban,40.1,60003,63,13,3,6,35,6,12,14,49,17,105,21.7,5,10,58.3,10,20,23.3,81.7,28.3
1991,90,179,Tazewell,10,Central,Mostly Urban,20.4,155345,54,2,3,4,41,4,8,2,52,12,34.8,1.3,1.9,2.6,26.4,2.6,5.1,1.3,33.5,7.7
1991,91,181,Union,1,Southern,Mostly Rural,65.9,21559,12,2,1,2,6,1,3,NA,12,5,55.7,9.3,4.6,9.3,27.8,4.6,13.9,NA,55.7,23.2
1991,92,183,Vermilion,5,Central,Mostly Urban,31.3,109431,84,15,2,22,41,4,25,9,75,11,76.8,13.7,1.8,20.1,37.5,3.7,22.8,8.2,68.5,10.1
1991,93,185,Wabash,2,Southern,Mostly Urban,38.9,16381,2,NA,NA,1,1,NA,1,NA,2,5,12.2,NA,NA,6.1,6.1,NA,6.1,NA,12.2,30.5
1991,94,187,Warren,9,Central,Mostly Urban,45.5,23886,19,7,NA,2,9,1,3,NA,19,5,79.5,29.3,NA,8.4,37.7,4.2,12.6,NA,79.5,20.9
1991,95,189,Washington,20,Southern,Mostly Rural,73.6,18563,9,2,2,NA,5,NA,NA,NA,9,2,48.5,10.8,10.8,NA,26.9,NA,NA,NA,48.5,10.8
1991,96,191,Wayne,2,Southern,Mostly Rural,69.9,20935,23,2,2,3,14,2,5,1,22,4,109.9,9.6,9.6,14.3,66.9,9.6,23.9,4.8,105.1,19.1
1991,97,193,White,2,Southern,Mostly Rural,62,19980,9,NA,NA,1,7,1,2,NA,9,5,45,NA,NA,5,35,5,10,NA,45,25
1991,98,195,Whiteside,14,Northern - Other,Mostly Urban,37.3,75815,77,8,6,10,49,4,14,2,75,7,101.6,10.6,7.9,13.2,64.6,5.3,18.5,2.6,98.9,9.2
1991,99,197,Will,12,Northern - Collar,Mostly Urban,3.9,472030,271,93,6,72,85,15,86,23,248,42,57.4,19.7,1.3,15.3,18,3.2,18.2,4.9,52.5,8.9
1991,100,199,Williamson,1,Southern,Mostly Urban,34.8,70919,32,11,NA,5,14,2,7,2,30,14,45.1,15.5,NA,7.1,19.7,2.8,9.9,2.8,42.3,19.7
1991,101,201,Winnebago,17,Northern - Other,Mostly Urban,7.9,322368,276,39,5,66,143,23,86,32,244,81,85.6,12.1,1.6,20.5,44.4,7.1,26.7,9.9,75.7,25.1
1991,102,203,Woodford,11,Central,Mostly Rural,54.9,42436,8,2,NA,3,1,2,5,NA,8,NA,18.9,4.7,NA,7.1,2.4,4.7,11.8,NA,18.9,NA
1992,1,1,Adams,8,Central,Mostly Urban,32.6,83187,102,23,5,23,37,14,37,10,92,7,122.6,27.6,6,27.6,44.5,16.8,44.5,12,110.6,8.4
1992,2,3,Alexander,1,Southern,Mostly Rural,61.9,13287,43,9,2,12,19,1,13,4,39,2,323.6,67.7,15.1,90.3,143,7.5,97.8,30.1,293.5,15.1
1992,3,5,Bond,3,Southern,Mostly Rural,60.7,18772,8,1,NA,3,4,NA,3,NA,8,NA,42.6,5.3,NA,16,21.3,NA,16,NA,42.6,NA
1992,4,7,Boone,17,Northern - Other,Mostly Urban,19.4,41725,35,3,3,3,21,5,8,1,34,3,83.9,7.2,7.2,7.2,50.3,12,19.2,2.4,81.5,7.2
