year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1995,21,41,Douglas,6,Central,Mostly Rural,61.6,24988,17,4,2,3,7,1,4,NA,17,1,68,16,8,12,28,4,16,NA,68,4
1995,22,43,DuPage,18,Northern - Collar,Completely Urban,0,1073568,507,110,18,87,276,16,103,63,444,15,47.2,10.2,1.7,8.1,25.7,1.5,9.6,5.9,41.4,1.4
1995,23,45,Edgar,5,Central,Mostly Rural,51.8,24840,27,1,2,2,18,4,6,3,24,3,108.7,4,8.1,8.1,72.5,16.1,24.2,12.1,96.6,12.1
1995,24,47,Edwards,2,Southern,Completely Rural,100,8918,2,NA,1,NA,NA,1,1,NA,2,NA,22.4,NA,11.2,NA,NA,11.2,11.2,NA,22.4,NA
1995,25,49,Effingham,4,Southern,Mostly Rural,59.7,42421,36,9,NA,12,12,3,15,1,35,2,84.9,21.2,NA,28.3,28.3,7.1,35.4,2.4,82.5,4.7
1995,26,51,Fayette,4,Southern,Mostly Rural,67,26197,30,7,5,4,10,4,8,3,27,NA,114.5,26.7,19.1,15.3,38.2,15.3,30.5,11.5,103.1,NA
1995,27,53,Ford,11,Central,Mostly Urban,41.8,17747,9,NA,NA,3,6,NA,3,2,7,NA,50.7,NA,NA,16.9,33.8,NA,16.9,11.3,39.4,NA
1995,28,55,Franklin,2,Southern,Mostly Urban,48.6,48918,39,5,4,4,22,4,8,5,34,2,79.7,10.2,8.2,8.2,45,8.2,16.4,10.2,69.5,4.1
1995,29,57,Fulton,9,Central,Mostly Rural,60,46940,34,4,2,12,12,4,16,1,33,3,72.4,8.5,4.3,25.6,25.6,8.5,34.1,2.1,70.3,6.4
1995,30,59,Gallatin,2,Southern,Completely Rural,100,8113,6,2,NA,2,2,NA,2,NA,6,NA,74,24.7,NA,24.7,24.7,NA,24.7,NA,74,NA
1995,31,61,Greene,7,Central,Mostly Rural,70.8,18909,13,2,NA,4,7,NA,4,NA,13,1,68.8,10.6,NA,21.2,37,NA,21.2,NA,68.8,5.3
1995,32,63,Grundy,13,Northern - Other,Mostly Urban,24.4,44109,18,3,3,4,7,1,5,NA,18,NA,40.8,6.8,6.8,9.1,15.9,2.3,11.3,NA,40.8,NA
1995,33,65,Hamilton,2,Southern,Mostly Rural,68.1,10569,4,NA,NA,1,3,NA,1,NA,4,1,37.8,NA,NA,9.5,28.4,NA,9.5,NA,37.8,9.5
1995,34,67,Hancock,9,Central,Mostly Rural,71,26033,17,NA,2,3,11,1,4,NA,17,NA,65.3,NA,7.7,11.5,42.3,3.8,15.4,NA,65.3,NA
1995,35,69,Hardin,2,Southern,Completely Rural,100,6122,11,4,1,1,4,1,2,1,10,NA,179.7,65.3,16.3,16.3,65.3,16.3,32.7,16.3,163.3,NA
1995,36,71,Henderson,9,Central,Mostly Rural,99.7,10170,4,NA,1,NA,3,NA,NA,NA,4,NA,39.3,NA,9.8,NA,29.5,NA,NA,NA,39.3,NA
1995,37,73,Henry,14,Central,Mostly Rural,50.3,63899,56,14,6,13,18,5,18,7,49,2,87.6,21.9,9.4,20.3,28.2,7.8,28.2,11,76.7,3.1
1995,38,75,Iroquois,21,Central,Mostly Rural,71.7,39195,18,2,2,3,8,3,6,1,17,NA,45.9,5.1,5.1,7.7,20.4,7.7,15.3,2.6,43.4,NA
1995,39,77,Jackson,1,Southern,Mostly Urban,37.2,72438,66,7,4,24,29,2,26,6,60,12,91.1,9.7,5.5,33.1,40,2.8,35.9,8.3,82.8,16.6
1995,40,79,Jasper,4,Southern,Mostly Rural,69.9,13227,19,4,NA,2,10,3,5,4,15,NA,143.6,30.2,NA,15.1,75.6,22.7,37.8,30.2,113.4,NA
1995,41,81,Jefferson,2,Southern,Mostly Rural,58.8,48904,54,15,1,12,23,3,15,2,52,4,110.4,30.7,2,24.5,47,6.1,30.7,4.1,106.3,8.2
1995,42,83,Jersey,7,Southern,Mostly Rural,60.6,26439,18,5,2,1,8,2,3,NA,18,NA,68.1,18.9,7.6,3.8,30.3,7.6,11.3,NA,68.1,NA
1995,43,85,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27488,10,NA,1,1,4,4,5,NA,10,1,36.4,NA,3.6,3.6,14.6,14.6,18.2,NA,36.4,3.6
1995,44,87,Johnson,1,Southern,Completely Rural,100,14588,14,1,3,2,8,NA,2,NA,14,NA,96,6.9,20.6,13.7,54.8,NA,13.7,NA,96,NA
1995,45,89,Kane,16,Northern - Collar,Mostly Urban,3.6,459738,488,111,15,161,166,35,193,51,437,18,106.1,24.1,3.3,35,36.1,7.6,42,11.1,95.1,3.9
1995,46,91,Kankakee,21,Central,Mostly Urban,24.5,128953,135,20,1,53,53,8,61,11,124,2,104.7,15.5,0.8,41.1,41.1,6.2,47.3,8.5,96.2,1.6
1995,47,93,Kendall,23,Northern - Other,Mostly Urban,10.4,57581,18,5,2,2,8,1,3,2,16,NA,31.3,8.7,3.5,3.5,13.9,1.7,5.2,3.5,27.8,NA
1995,48,95,Knox,9,Central,Mostly Urban,24.3,68571,86,35,3,13,30,5,18,6,80,1,125.4,51,4.4,19,43.8,7.3,26.3,8.8,116.7,1.5
1995,49,97,Lake,19,Northern - Collar,Mostly Urban,1.3,740426,692,195,32,179,254,32,211,67,625,9,93.5,26.3,4.3,24.2,34.3,4.3,28.5,9,84.4,1.2
1995,50,99,LaSalle,13,Northern - Other,Mostly Urban,30.2,136572,123,33,8,10,59,13,23,10,113,9,90.1,24.2,5.9,7.3,43.2,9.5,16.8,7.3,82.7,6.6
1995,51,101,Lawrence,2,Southern,Mostly Rural,58,19763,13,NA,NA,4,7,2,6,NA,13,1,65.8,NA,NA,20.2,35.4,10.1,30.4,NA,65.8,5.1
1995,52,103,Lee,15,Northern - Other,Mostly Rural,53.2,44680,18,2,NA,5,8,3,8,1,17,2,40.3,4.5,NA,11.2,17.9,6.7,17.9,2.2,38,4.5
1995,53,105,Livingston,11,Central,Mostly Urban,40.8,49933,54,10,7,8,24,5,13,3,51,2,108.1,20,14,16,48.1,10,26,6,102.1,4
1995,54,107,Logan,11,Central,Mostly Urban,39.9,37984,45,7,1,8,21,8,16,3,42,4,118.5,18.4,2.6,21.1,55.3,21.1,42.1,7.9,110.6,10.5
1995,55,109,McDonough,9,Central,Mostly Urban,29.5,39514,24,7,1,3,9,4,7,1,23,NA,60.7,17.7,2.5,7.6,22.8,10.1,17.7,2.5,58.2,NA
1995,56,111,McHenry,22,Northern - Collar,Mostly Urban,9.9,294013,141,26,11,30,65,9,39,7,134,5,48,8.8,3.7,10.2,22.1,3.1,13.3,2.4,45.6,1.7
1995,57,113,McLean,11,Central,Mostly Urban,16.5,172927,234,62,19,42,97,14,56,32,202,6,135.3,35.9,11,24.3,56.1,8.1,32.4,18.5,116.8,3.5
1995,58,115,Macon,6,Central,Mostly Urban,15.3,145814,418,74,19,109,199,17,122,47,371,23,286.7,50.7,13,74.8,136.5,11.7,83.7,32.2,254.4,15.8
1995,59,117,Macoupin,7,Central,Mostly Rural,58.5,60344,39,11,4,3,18,3,6,NA,39,3,64.6,18.2,6.6,5,29.8,5,9.9,NA,64.6,5
1995,60,119,Madison,3,Southern,Mostly Urban,13.3,318729,394,85,2,108,178,21,128,40,354,18,123.6,26.7,0.6,33.9,55.8,6.6,40.2,12.5,111.1,5.6
1995,61,121,Marion,4,Southern,Mostly Urban,45.1,52403,140,44,3,26,51,16,40,12,128,10,267.2,84,5.7,49.6,97.3,30.5,76.3,22.9,244.3,19.1
1995,62,123,Marshall,10,Central,Completely Rural,100,15904,4,NA,1,NA,2,1,1,NA,4,NA,25.2,NA,6.3,NA,12.6,6.3,6.3,NA,25.2,NA
1995,63,125,Mason,8,Central,Mostly Rural,77.5,20282,29,2,NA,7,17,3,9,NA,29,NA,143,9.9,NA,34.5,83.8,14.8,44.4,NA,143,NA
1995,64,127,Massac,1,Southern,Mostly Rural,50.5,18538,8,1,NA,2,4,1,3,1,7,2,43.2,5.4,NA,10.8,21.6,5.4,16.2,5.4,37.8,10.8
1995,65,129,Menard,8,Central,Mostly Rural,75.7,15097,6,NA,1,1,4,NA,1,NA,6,1,39.7,NA,6.6,6.6,26.5,NA,6.6,NA,39.7,6.6
1995,66,131,Mercer,14,Central,Mostly Rural,77.8,21240,7,1,1,1,2,2,3,NA,7,1,33,4.7,4.7,4.7,9.4,9.4,14.1,NA,33,4.7
1995,67,133,Monroe,20,Southern,Mostly Urban,41.4,31113,22,2,3,2,13,2,4,2,20,2,70.7,6.4,9.6,6.4,41.8,6.4,12.9,6.4,64.3,6.4
1995,68,135,Montgomery,4,Central,Mostly Urban,41.6,37903,52,13,3,9,24,3,12,5,47,1,137.2,34.3,7.9,23.7,63.3,7.9,31.7,13.2,124,2.6
1995,69,137,Morgan,7,Central,Mostly Urban,36.2,45328,47,13,3,8,21,2,10,3,44,3,103.7,28.7,6.6,17.6,46.3,4.4,22.1,6.6,97.1,6.6
1995,70,139,Moultrie,6,Central,Mostly Rural,69.2,17537,10,NA,2,4,4,NA,4,NA,10,1,57,NA,11.4,22.8,22.8,NA,22.8,NA,57,5.7
1995,71,141,Ogle,15,Northern - Other,Mostly Urban,47.1,61995,37,14,NA,4,16,3,7,8,29,3,59.7,22.6,NA,6.5,25.8,4.8,11.3,12.9,46.8,4.8
1995,72,143,Peoria,10,Central,Mostly Urban,14.6,230161,334,62,7,102,124,39,120,49,285,8,145.1,26.9,3,44.3,53.9,16.9,52.1,21.3,123.8,3.5
1995,73,145,Perry,20,Southern,Mostly Urban,43.6,26402,10,1,1,1,6,1,2,1,9,1,37.9,3.8,3.8,3.8,22.7,3.8,7.6,3.8,34.1,3.8
1995,74,147,Piatt,6,Central,Mostly Rural,67.7,19896,9,NA,1,2,5,1,3,NA,9,NA,45.2,NA,5,10.1,25.1,5,15.1,NA,45.2,NA
1995,75,149,Pike,8,Central,Mostly Rural,72.3,21298,13,4,1,3,3,2,5,NA,13,NA,61,18.8,4.7,14.1,14.1,9.4,23.5,NA,61,NA
1995,76,151,Pope,1,Southern,Completely Rural,100,5324,9,NA,1,4,3,1,5,1,8,1,169,NA,18.8,75.1,56.3,18.8,93.9,18.8,150.3,18.8
1995,77,153,Pulaski,1,Southern,Completely Rural,100,9505,14,3,NA,6,2,3,9,1,13,2,147.3,31.6,NA,63.1,21,31.6,94.7,10.5,136.8,21
1995,78,155,Putnam,10,Central,Completely Rural,100,7261,2,NA,NA,NA,2,NA,NA,NA,2,NA,27.5,NA,NA,NA,27.5,NA,NA,NA,27.5,NA
1995,79,157,Randolph,20,Southern,Mostly Urban,42.6,41890,37,5,3,5,21,3,8,7,30,2,88.3,11.9,7.2,11.9,50.1,7.2,19.1,16.7,71.6,4.8
1995,80,159,Richland,2,Southern,Mostly Urban,43.5,20475,34,10,2,4,15,3,7,1,33,1,166.1,48.8,9.8,19.5,73.3,14.7,34.2,4.9,161.2,4.9
1995,81,161,Rock Island,14,Central,Mostly Urban,10.9,185821,278,66,11,67,116,18,85,18,260,8,149.6,35.5,5.9,36.1,62.4,9.7,45.7,9.7,139.9,4.3
1995,82,163,St. Clair,20,Southern,Mostly Urban,9.8,333457,287,46,5,82,142,12,94,32,255,40,86.1,13.8,1.5,24.6,42.6,3.6,28.2,9.6,76.5,12
1995,83,165,Saline,1,Southern,Mostly Urban,43.7,32981,28,6,2,8,12,NA,8,1,27,1,84.9,18.2,6.1,24.3,36.4,NA,24.3,3,81.9,3
1995,84,167,Sangamon,7,Central,Mostly Urban,14.1,235590,206,37,7,56,94,12,64,27,179,53,87.4,15.7,3,23.8,39.9,5.1,27.2,11.5,76,22.5
1995,85,169,Schuyler,8,Central,Mostly Rural,57.6,9297,1,NA,NA,NA,1,NA,NA,NA,1,NA,10.8,NA,NA,NA,10.8,NA,NA,NA,10.8,NA
1995,86,171,Scott,7,Central,Completely Rural,100,6957,2,NA,NA,NA,1,1,1,NA,2,NA,28.7,NA,NA,NA,14.4,14.4,14.4,NA,28.7,NA
1995,87,173,Shelby,4,Central,Mostly Rural,77.7,28300,13,3,1,3,4,2,5,NA,13,2,45.9,10.6,3.5,10.6,14.1,7.1,17.7,NA,45.9,7.1
1995,88,175,Stark,10,Central,Completely Rural,100,7993,3,NA,2,NA,NA,1,1,NA,3,NA,37.5,NA,25,NA,NA,12.5,12.5,NA,37.5,NA
1995,89,177,Stephenson,15,Northern - Other,Mostly Urban,40.1,60993,89,16,2,20,45,6,26,17,72,5,145.9,26.2,3.3,32.8,73.8,9.8,42.6,27.9,118,8.2
1995,90,179,Tazewell,10,Central,Mostly Urban,20.4,158572,128,6,4,29,79,10,39,8,120,4,80.7,3.8,2.5,18.3,49.8,6.3,24.6,5,75.7,2.5
1995,91,181,Union,1,Southern,Mostly Rural,65.9,22152,15,4,1,3,7,NA,3,NA,15,NA,67.7,18.1,4.5,13.5,31.6,NA,13.5,NA,67.7,NA
1995,92,183,Vermilion,5,Central,Mostly Urban,31.3,107603,78,15,1,28,27,7,35,7,71,7,72.5,13.9,0.9,26,25.1,6.5,32.5,6.5,66,6.5
1995,93,185,Wabash,2,Southern,Mostly Urban,38.9,16278,6,NA,1,1,4,NA,1,NA,6,NA,36.9,NA,6.1,6.1,24.6,NA,6.1,NA,36.9,NA
1995,94,187,Warren,9,Central,Mostly Urban,45.5,23529,23,3,NA,9,11,NA,9,NA,23,2,97.8,12.8,NA,38.3,46.8,NA,38.3,NA,97.8,8.5
1995,95,189,Washington,20,Southern,Mostly Rural,73.6,18805,7,2,1,1,3,NA,1,NA,7,NA,37.2,10.6,5.3,5.3,16,NA,5.3,NA,37.2,NA
1995,96,191,Wayne,2,Southern,Mostly Rural,69.9,21088,22,3,2,4,10,3,7,NA,22,2,104.3,14.2,9.5,19,47.4,14.2,33.2,NA,104.3,9.5
1995,97,193,White,2,Southern,Mostly Rural,62,19233,13,1,NA,1,11,NA,1,1,12,1,67.6,5.2,NA,5.2,57.2,NA,5.2,5.2,62.4,5.2
1995,98,195,Whiteside,14,Northern - Other,Mostly Urban,37.3,75824,145,24,14,20,79,8,28,16,129,6,191.2,31.7,18.5,26.4,104.2,10.6,36.9,21.1,170.1,7.9
1995,99,197,Will,12,Northern - Collar,Mostly Urban,3.9,537965,419,125,8,141,128,17,158,33,386,16,77.9,23.2,1.5,26.2,23.8,3.2,29.4,6.1,71.8,3
1995,100,199,Williamson,1,Southern,Mostly Urban,34.8,73885,54,9,1,15,24,5,19,6,48,2,73.1,12.2,1.4,20.3,32.5,6.8,25.7,8.1,65,2.7
1995,101,201,Winnebago,17,Northern - Other,Mostly Urban,7.9,336787,316,70,5,106,115,20,125,23,293,31,93.8,20.8,1.5,31.5,34.1,5.9,37.1,6.8,87,9.2
1995,102,203,Woodford,11,Central,Mostly Rural,54.9,43560,18,NA,3,2,12,1,3,1,17,NA,41.3,NA,6.9,4.6,27.5,2.3,6.9,2.3,39,NA
1996,1,1,Adams,8,Central,Mostly Urban,32.6,85309,136,27,9,33,53,14,47,14,122,11,159.4,31.6,10.5,38.7,62.1,16.4,55.1,16.4,143,12.9
1996,2,3,Alexander,1,Southern,Mostly Rural,61.9,12473,21,1,NA,7,10,3,10,NA,21,7,168.4,8,NA,56.1,80.2,24.1,80.2,NA,168.4,56.1
1996,3,5,Bond,3,Southern,Mostly Rural,60.7,21005,10,1,1,NA,7,1,1,1,9,NA,47.6,4.8,4.8,NA,33.3,4.8,4.8,4.8,42.8,NA
1996,4,7,Boone,17,Northern - Other,Mostly Urban,19.4,48550,43,6,NA,9,22,6,15,3,40,4,88.6,12.4,NA,18.5,45.3,12.4,30.9,6.2,82.4,8.2
1996,5,9,Brown,8,Central,Mostly Urban,41.1,7973,1,NA,NA,NA,1,NA,NA,1,NA,NA,12.5,NA,NA,NA,12.5,NA,NA,12.5,NA,NA
1996,6,11,Bureau,13,Central,Mostly Rural,57.4,44445,46,17,3,6,15,5,11,1,45,1,103.5,38.2,6.7,13.5,33.7,11.2,24.7,2.2,101.2,2.2
1996,7,13,Calhoun,8,Southern,Completely Rural,100,6294,1,NA,NA,NA,1,NA,NA,NA,1,NA,15.9,NA,NA,NA,15.9,NA,NA,NA,15.9,NA
1996,8,15,Carroll,15,Northern - Other,Mostly Rural,81.9,20896,25,2,1,8,12,2,10,NA,25,3,119.6,9.6,4.8,38.3,57.4,9.6,47.9,NA,119.6,14.4
1996,9,17,Cass,8,Central,Mostly Rural,52.1,16859,18,2,1,3,12,NA,3,NA,18,NA,106.8,11.9,5.9,17.8,71.2,NA,17.8,NA,106.8,NA
1996,10,19,Champaign,6,Central,Mostly Urban,12.7,211557,275,63,4,60,134,14,73,34,241,16,130,29.8,1.9,28.4,63.3,6.6,34.5,16.1,113.9,7.6
1996,11,21,Christian,4,Central,Mostly Urban,43.5,43984,43,1,1,7,32,2,9,2,41,4,97.8,2.3,2.3,15.9,72.8,4.5,20.5,4.5,93.2,9.1
1996,12,23,Clark,5,Southern,Mostly Rural,59.5,20643,9,NA,NA,3,5,1,4,2,7,1,43.6,NA,NA,14.5,24.2,4.8,19.4,9.7,33.9,4.8
1996,13,25,Clay,4,Southern,Mostly Rural,64.7,17974,17,1,NA,3,10,3,6,2,15,1,94.6,5.6,NA,16.7,55.6,16.7,33.4,11.1,83.5,5.6
1996,14,27,Clinton,4,Southern,Mostly Urban,48.8,43860,33,1,NA,3,25,4,7,NA,33,3,75.2,2.3,NA,6.8,57,9.1,16,NA,75.2,6.8
1996,15,29,Coles,5,Central,Mostly Urban,24.3,63438,70,7,6,16,36,5,21,4,66,6,110.3,11,9.5,25.2,56.7,7.9,33.1,6.3,104,9.5
1996,16,31,Cook,co,Northern - Cook,Completely Urban,0,6614328,14052,6347,99,3629,3648,329,3948,1313,12739,437,212.4,96,1.5,54.9,55.2,5,59.7,19.9,192.6,6.6
1996,17,33,Crawford,2,Southern,Mostly Rural,60.2,25532,11,1,1,NA,8,1,1,NA,11,NA,43.1,3.9,3.9,NA,31.3,3.9,3.9,NA,43.1,NA
1996,18,35,Cumberland,5,Southern,Completely Rural,100,14082,6,1,NA,NA,5,NA,NA,NA,6,1,42.6,7.1,NA,NA,35.5,NA,NA,NA,42.6,7.1
1996,19,37,DeKalb,23,Northern - Other,Mostly Urban,20.3,102330,68,11,5,14,32,6,20,3,65,5,66.5,10.7,4.9,13.7,31.3,5.9,19.5,2.9,63.5,4.9
1996,20,39,De Witt,6,Central,Mostly Urban,48.8,20731,14,1,1,2,9,1,3,NA,14,3,67.5,4.8,4.8,9.6,43.4,4.8,14.5,NA,67.5,14.5
1996,21,41,Douglas,6,Central,Mostly Rural,61.6,24991,16,3,NA,2,11,NA,2,3,13,3,64,12,NA,8,44,NA,8,12,52,12
1996,22,43,DuPage,18,Northern - Collar,Completely Urban,0,1084794,468,74,22,79,278,15,94,74,394,12,43.1,6.8,2,7.3,25.6,1.4,8.7,6.8,36.3,1.1
1996,23,45,Edgar,5,Central,Mostly Rural,51.8,25041,28,3,2,5,15,3,8,1,27,1,111.8,12,8,20,59.9,12,31.9,4,107.8,4
1996,24,47,Edwards,2,Southern,Completely Rural,100,8806,2,1,NA,NA,1,NA,NA,NA,2,NA,22.7,11.4,NA,NA,11.4,NA,NA,NA,22.7,NA
1996,25,49,Effingham,4,Southern,Mostly Rural,59.7,42872,33,7,NA,6,18,2,8,3,30,2,77,16.3,NA,14,42,4.7,18.7,7,70,4.7
1996,26,51,Fayette,4,Southern,Mostly Rural,67,26415,19,11,2,NA,5,1,1,2,17,3,71.9,41.6,7.6,NA,18.9,3.8,3.8,7.6,64.4,11.4
1996,27,53,Ford,11,Central,Mostly Urban,41.8,17785,13,NA,NA,2,9,2,4,1,12,NA,73.1,NA,NA,11.2,50.6,11.2,22.5,5.6,67.5,NA
1996,28,55,Franklin,2,Southern,Mostly Urban,48.6,49086,33,3,5,6,14,5,11,2,31,4,67.2,6.1,10.2,12.2,28.5,10.2,22.4,4.1,63.2,8.1
1996,29,57,Fulton,9,Central,Mostly Rural,60,47304,34,2,2,6,18,6,10,NA,34,1,71.9,4.2,4.2,12.7,38.1,12.7,21.1,NA,71.9,2.1
1996,30,59,Gallatin,2,Southern,Completely Rural,100,8090,15,3,NA,3,7,2,5,NA,15,NA,185.4,37.1,NA,37.1,86.5,24.7,61.8,NA,185.4,NA
1996,31,61,Greene,7,Central,Mostly Rural,70.8,18803,8,1,3,1,3,NA,1,NA,8,4,42.5,5.3,16,5.3,16,NA,5.3,NA,42.5,21.3
1996,32,63,Grundy,13,Northern - Other,Mostly Urban,24.4,44839,19,3,2,5,8,1,6,NA,19,1,42.4,6.7,4.5,11.2,17.8,2.2,13.4,NA,42.4,2.2
1996,33,65,Hamilton,2,Southern,Mostly Rural,68.1,10603,4,NA,NA,2,2,NA,2,NA,4,NA,37.7,NA,NA,18.9,18.9,NA,18.9,NA,37.7,NA
1996,34,67,Hancock,9,Central,Mostly Rural,71,25867,14,NA,NA,3,9,2,5,NA,14,NA,54.1,NA,NA,11.6,34.8,7.7,19.3,NA,54.1,NA
1996,35,69,Hardin,2,Southern,Completely Rural,100,6005,4,1,NA,2,NA,1,3,2,2,1,66.6,16.7,NA,33.3,NA,16.7,50,33.3,33.3,16.7
1996,36,71,Henderson,9,Central,Mostly Rural,99.7,10155,15,1,3,3,7,1,4,NA,15,NA,147.7,9.8,29.5,29.5,68.9,9.8,39.4,NA,147.7,NA
1996,37,73,Henry,14,Central,Mostly Rural,50.3,63761,88,27,3,14,32,12,26,8,80,1,138,42.3,4.7,22,50.2,18.8,40.8,12.5,125.5,1.6
1996,38,75,Iroquois,21,Central,Mostly Rural,71.7,39426,24,3,1,4,15,1,5,1,23,4,60.9,7.6,2.5,10.1,38,2.5,12.7,2.5,58.3,10.1
1996,39,77,Jackson,1,Southern,Mostly Urban,37.2,72206,70,4,3,14,45,4,18,6,64,14,96.9,5.5,4.2,19.4,62.3,5.5,24.9,8.3,88.6,19.4
1996,40,79,Jasper,4,Southern,Mostly Rural,69.9,13161,12,4,NA,1,6,1,2,1,11,NA,91.2,30.4,NA,7.6,45.6,7.6,15.2,7.6,83.6,NA
1996,41,81,Jefferson,2,Southern,Mostly Rural,58.8,49012,39,14,2,5,16,2,7,5,34,7,79.6,28.6,4.1,10.2,32.6,4.1,14.3,10.2,69.4,14.3
1996,42,83,Jersey,7,Southern,Mostly Rural,60.6,26554,16,2,2,3,8,1,4,1,15,1,60.3,7.5,7.5,11.3,30.1,3.8,15.1,3.8,56.5,3.8
1996,43,85,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27439,6,2,NA,1,3,NA,1,NA,6,1,21.9,7.3,NA,3.6,10.9,NA,3.6,NA,21.9,3.6
1996,44,87,Johnson,1,Southern,Completely Rural,100,14850,9,NA,2,2,5,NA,2,NA,9,NA,60.6,NA,13.5,13.5,33.7,NA,13.5,NA,60.6,NA
1996,45,89,Kane,16,Northern - Collar,Mostly Urban,3.6,472946,429,90,9,156,144,30,184,31,398,23,90.7,19,1.9,33,30.4,6.3,38.9,6.6,84.2,4.9
1996,46,91,Kankakee,21,Central,Mostly Urban,24.5,129372,181,22,1,72,79,7,79,14,167,11,139.9,17,0.8,55.7,61.1,5.4,61.1,10.8,129.1,8.5
1996,47,93,Kendall,23,Northern - Other,Mostly Urban,10.4,60571,37,9,NA,6,22,NA,6,6,31,3,61.1,14.9,NA,9.9,36.3,NA,9.9,9.9,51.2,5
1996,48,95,Knox,9,Central,Mostly Urban,24.3,68316,77,13,4,23,34,3,26,4,73,6,112.7,19,5.9,33.7,49.8,4.4,38.1,5.9,106.9,8.8
1996,49,97,Lake,19,Northern - Collar,Mostly Urban,1.3,761306,677,164,16,177,278,42,218,72,605,25,88.9,21.5,2.1,23.2,36.5,5.5,28.6,9.5,79.5,3.3
1996,50,99,LaSalle,13,Northern - Other,Mostly Urban,30.2,137425,123,26,8,13,65,11,24,14,109,15,89.5,18.9,5.8,9.5,47.3,8,17.5,10.2,79.3,10.9
1996,51,101,Lawrence,2,Southern,Mostly Rural,58,19576,12,2,NA,2,5,3,5,NA,12,3,61.3,10.2,NA,10.2,25.5,15.3,25.5,NA,61.3,15.3
1996,52,103,Lee,15,Northern - Other,Mostly Rural,53.2,44642,35,2,3,7,16,7,14,3,32,6,78.4,4.5,6.7,15.7,35.8,15.7,31.4,6.7,71.7,13.4
1996,53,105,Livingston,11,Central,Mostly Urban,40.8,49217,33,5,5,3,19,1,4,3,30,3,67.1,10.2,10.2,6.1,38.6,2,8.1,6.1,61,6.1
1996,54,107,Logan,11,Central,Mostly Urban,39.9,37824,50,11,3,14,18,4,17,4,46,6,132.2,29.1,7.9,37,47.6,10.6,44.9,10.6,121.6,15.9
1996,55,109,McDonough,9,Central,Mostly Urban,29.5,39427,29,2,3,6,13,5,11,1,28,NA,73.6,5.1,7.6,15.2,33,12.7,27.9,2.5,71,NA
1996,56,111,McHenry,22,Northern - Collar,Mostly Urban,9.9,303668,92,22,2,19,41,8,27,7,85,10,30.3,7.2,0.7,6.3,13.5,2.6,8.9,2.3,28,3.3
1996,57,113,McLean,11,Central,Mostly Urban,16.5,174722,260,55,20,55,115,15,70,26,234,11,148.8,31.5,11.4,31.5,65.8,8.6,40.1,14.9,133.9,6.3
1996,58,115,Macon,6,Central,Mostly Urban,15.3,144807,319,47,8,96,154,14,107,34,285,25,220.3,32.5,5.5,66.3,106.3,9.7,73.9,23.5,196.8,17.3
1996,59,117,Macoupin,7,Central,Mostly Rural,58.5,60641,55,6,2,11,33,3,14,3,52,4,90.7,9.9,3.3,18.1,54.4,4.9,23.1,4.9,85.8,6.6
1996,60,119,Madison,3,Southern,Mostly Urban,13.3,319374,348,94,3,90,137,24,114,30,318,31,109,29.4,0.9,28.2,42.9,7.5,35.7,9.4,99.6,9.7
1996,61,121,Marion,4,Southern,Mostly Urban,45.1,52583,106,19,7,23,49,8,31,7,99,6,201.6,36.1,13.3,43.7,93.2,15.2,59,13.3,188.3,11.4
1996,62,123,Marshall,10,Central,Completely Rural,100,15914,5,NA,NA,2,3,NA,2,NA,5,NA,31.4,NA,NA,12.6,18.9,NA,12.6,NA,31.4,NA
1996,63,125,Mason,8,Central,Mostly Rural,77.5,20162,26,6,NA,6,11,3,9,NA,26,1,129,29.8,NA,29.8,54.6,14.9,44.6,NA,129,5
1996,64,127,Massac,1,Southern,Mostly Rural,50.5,18616,22,5,1,5,9,2,7,2,20,1,118.2,26.9,5.4,26.9,48.3,10.7,37.6,10.7,107.4,5.4
1996,65,129,Menard,8,Central,Mostly Rural,75.7,15282,9,2,NA,NA,6,1,1,NA,9,1,58.9,13.1,NA,NA,39.3,6.5,6.5,NA,58.9,6.5
1996,66,131,Mercer,14,Central,Mostly Rural,77.8,21156,9,3,NA,1,4,1,2,NA,9,2,42.5,14.2,NA,4.7,18.9,4.7,9.5,NA,42.5,9.5
1996,67,133,Monroe,20,Southern,Mostly Urban,41.4,31886,19,1,1,2,14,1,3,NA,19,4,59.6,3.1,3.1,6.3,43.9,3.1,9.4,NA,59.6,12.5
1996,68,135,Montgomery,4,Central,Mostly Urban,41.6,37860,40,5,2,10,21,2,12,NA,40,4,105.7,13.2,5.3,26.4,55.5,5.3,31.7,NA,105.7,10.6
1996,69,137,Morgan,7,Central,Mostly Urban,36.2,45357,51,17,3,7,22,2,9,5,46,5,112.4,37.5,6.6,15.4,48.5,4.4,19.8,11,101.4,11
