state,scrape_date,staff_positive,inmates_positive,inmates_positive_symptomatic,inmates_positive_asymptomatic,inmates_positive_current,inmates_positive_on_site,n_positive_c_os,contract_staff_positive,total_positive,inmates_current_positive,death_of_covid‑19_positive_offender,inmates_negative,staff_negative,inmates_pending,test_pending,staff_deaths,inmates_deaths_probable,inmates_deaths_confirmed,inmates_deaths,inmates_covid_deaths_underlying_conditions,inmates_covid_deaths,inmates_probable_deaths,inmates_death_underlying_conditions,total_deaths,inmates_death_underlying_cond,inmates_tested,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Minnesota,2020-04-26,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,212,38,30,1,NA,NA,NA,NA,NA
Vermont,2020-04-26,18,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,2020-04-26,6,24,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2020-04-26,54,751,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2020-04-26,282,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,154,NA,43,41594
Hawaii,2020-04-26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,1,2,NA,NA
Maine,2020-04-26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1,NA,NA,NA
Michigan,2020-04-26,254,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,NA,76,NA,2,NA,NA,33,NA,NA,NA,NA,NA,NA,2429,NA,NA,NA,15,NA,NA,NA,NA
Rhode Island,2020-04-26,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2020-04-26,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,9,NA
