facilities,state,scrape_date,staff_positive,staff_deaths,staff_recovered,units_in_quarantine,inmates_quarantine,housing_type,inmates_isolation,inmates_positive,inmates_deaths_probable,inmates_deaths_confirmed,inmates_pending,inmates_recovered,inmates_deaths,inmates_negative,inmates_tested,daily_total_population,inmates_security_quarantine,inmates_medical_quarantine,inmates_positive_symptomatic,inmates_positive_asymptomatic,inmates_positive_current,inmates_step_down,inmates_covid_deaths_underlying_conditions,inmates_covid_deaths,inmates_medical,staff_negative,inmates_medical_restriction,inmates_medical_isolation,inmates_positive_on_site,inmates_hospital,pre_trial_population,sentenced_population,other_population,total_population,n_tested_detainees_inmates,n_tested_c_os,n_positive_c_os,staff_tested,contract_staff_tested,contract_staff_positive,total_tested,total_positive,n_released_pre_trial,n_released_sentenced,notes,inmates_posiitive,units_quarantine,persons_under_med_investigation,inmates_recoveries,staff_recoveries,inmates_probable_deaths,inmates_deceased,inmates_current_positive,inmates_death_underlying_conditions,total_deaths,death_of_covid‑19_positive_offender,scrape_data,daily_total_pop,security_quarantine,medical_quarantine,medical_isolation,inmates_death_underlying_cond,test_pending,recovered
MCI,Ohio,2020-04-27,169,1,65,Full Institution,470,Combo,1992,1992,0,4,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCI,Ohio,2020-04-27,1,0,0,Full Institution,2381,Combo,5,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCCC,Ohio,2020-04-27,9,0,0,Full Institution,2368,Combo,13,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEOCC,Ohio,2020-04-27,1,0,0,Full Institution,933,Cells,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NERC,Ohio,2020-04-27,1,0,1,Full Institution,578,Cells,7,4,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORW,Ohio,2020-04-27,0,0,0,0,3,Cells,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSP,Ohio,2020-04-27,1,0,1,Full Institution,480,Cells,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCI,Ohio,2020-04-27,81,1,18,Full Institution,436,Combo,1525,1525,2,11,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RICI,Ohio,2020-04-27,2,0,0,Full Institution,2538,Combo,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCI,Ohio,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
