facilities,inmates_positive,inmates_deaths,scrape_date,state,inmates_tested,test_pending,inmates_negative,inmates_pending,daily_total_pop,security_quarantine,medical_quarantine,medical_isolation,staff_positive,staff_recovered,inmates_recovered,staff_negative,staff_deaths,inmates_hospital,inmates_step_down,recovered,inmates_death_underlying_cond,total_deaths
Eyman,3,NA,2020-04-17,Arizona,12,NA,9,0,5654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yuma,0,NA,2020-04-17,Arizona,4,NA,4,0,4892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix West*,0,NA,2020-04-17,Arizona,0,NA,0,0,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Rock*,0,NA,2020-04-17,Arizona,12,NA,12,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix,0,NA,2020-04-17,Arizona,2,NA,1,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perryville,0,NA,2020-04-17,Arizona,0,NA,0,0,4147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRC,0,NA,2020-04-17,Arizona,0,NA,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis,0,NA,2020-04-17,Arizona,3,NA,3,0,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kingman*,0,NA,2020-04-17,Arizona,5,NA,5,0,3206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florence West*,0,NA,2020-04-17,Arizona,0,NA,0,0,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRC,0,NA,2020-04-17,Arizona,0,NA,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florence,13,NA,2020-04-17,Arizona,48,NA,8,37,3610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winslow,0,NA,2020-04-17,Arizona,2,NA,2,0,1341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucson,1,NA,2020-04-17,Arizona,21,NA,20,0,4927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marana*,5,NA,2020-04-17,Arizona,6,NA,1,0,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apalachee CI,0,NA,2020-04-17,Florida,NA,NA,9,0,NA,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avon Park CI,0,NA,2020-04-17,Florida,NA,NA,0,1,NA,2,134,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bay CFOperated by
                  The GEO Group Inc.*",0,NA,2020-04-17,Florida,NA,NA,0,0,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackwater CFOperated by
                  The GEO Group Inc.*",34,NA,2020-04-17,Florida,NA,NA,6,11,NA,0,737,23,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calhoun CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Century CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFRC,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,209,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia CI,0,NA,2020-04-17,Florida,NA,NA,9,1,NA,6,65,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cross City CI,0,NA,2020-04-17,Florida,NA,NA,3,1,NA,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dade CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desoto Annex,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everglades CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida State Prison,0,NA,2020-04-17,Florida,NA,NA,1,1,NA,1,67,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
FWRC,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Franklin CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gadsden CFOperated by MTC.*,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graceville CFOperated by
                  The GEO Group Inc.*",0,NA,2020-04-17,Florida,NA,NA,0,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gulf CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hamilton CI,0,NA,2020-04-17,Florida,NA,NA,3,3,NA,5,220,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardee CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hernando CI,0,NA,2020-04-17,Florida,NA,NA,2,0,NA,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holmes CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homestead CI,0,NA,2020-04-17,Florida,NA,NA,1,1,NA,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jackson CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jefferson CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake CI,0,NA,2020-04-17,Florida,NA,NA,0,1,NA,6,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lake City CFOperated by CoreCivic.*,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lancaster CI,0,NA,2020-04-17,Florida,NA,NA,2,0,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawtey CI,0,NA,2020-04-17,Florida,NA,NA,5,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberty CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lowell CI,0,NA,2020-04-17,Florida,NA,NA,2,2,NA,7,250,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madison CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marion CI,0,NA,2020-04-17,Florida,NA,NA,5,0,NA,5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martin CI,1,NA,2020-04-17,Florida,NA,NA,4,5,NA,17,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayo Annex,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore Haven CFOperated by
                  The GEO Group Inc.*",0,NA,2020-04-17,Florida,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
New River CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NWFRC,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okaloosa CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Okeechobee CI,0,NA,2020-04-17,Florida,NA,NA,3,0,NA,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polk CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,11,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Putnam CI,0,NA,2020-04-17,Florida,NA,NA,0,1,NA,1,65,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
RMC,0,NA,2020-04-17,Florida,NA,NA,3,0,NA,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Rosa CI,0,NA,2020-04-17,Florida,NA,NA,3,2,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Bay CFOperated by
                  The GEO Group Inc.*",0,NA,2020-04-17,Florida,NA,NA,1,1,NA,2,508,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFRC,0,NA,2020-04-17,Florida,NA,NA,12,1,NA,8,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sumter CI,3,NA,2020-04-17,Florida,NA,NA,1,39,NA,7,468,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suwannee CI,0,NA,2020-04-17,Florida,NA,NA,0,0,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor CI,0,NA,2020-04-17,Florida,NA,NA,2,3,NA,5,152,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomoka CI,7,NA,2020-04-17,Florida,NA,NA,4,99,NA,6,1038,88,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union CI,0,NA,2020-04-17,Florida,NA,NA,1,3,NA,5,120,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wakulla CI,0,NA,2020-04-17,Florida,NA,NA,0,1,NA,6,72,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walton CI,0,NA,2020-04-17,Florida,NA,NA,1,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zephyrhills CI,0,NA,2020-04-17,Florida,NA,NA,11,0,NA,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Region 1,NA,NA,2020-04-17,Florida,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Region 2,NA,NA,2020-04-17,Florida,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Region 3,NA,NA,2020-04-17,Florida,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Region 4,NA,NA,2020-04-17,Florida,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta TC,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
ASMP,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
Autry State Prison,6,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA
Bacon PDC,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA
Bainbridge PSAT,6,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,NA,NA,NA,NA,NA,NA,NA
Baldwin State Prison,4,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA
Burruss CTC,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA
Calhoun State Prison,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,NA,NA,NA,NA,NA,NA,NA
Clayton TC,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA
Coastal State Prison,6,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
Dooly State Prison,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
GDCP,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA
Johnson State Prison,23,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,4,1,10,NA,NA,NA,NA,NA,NA,NA
Lee Arrendale State Prison,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
Lee State Prison,8,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,17,4,4,NA,NA,NA,NA,NA,NA,NA
Macon State Prison,9,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,5,NA,NA,NA,NA,NA,NA,NA
McEver PDC,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA
Metro Reentry Facility,2,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA
Metro TC,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA
Patten PDC,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
Phillips State Prison,6,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,5,0,3,NA,NA,NA,NA,NA,NA,NA
Phillips TC,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA
Rutledge State Prison,1,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
Turner RSAT,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
Valdosta State Prison,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
Ware State Prison,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA
West Central ITF,0,NA,2020-04-17,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA
​Locations,NA,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Crossroads ATC,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA
​Danville,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
​Fox Valley ATC,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,7,4,0,NA,NA,NA,NA,NA,NA,NA
​General Office,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
​Graham,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
​Hill,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA
​Joliet Treatment Center,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA
​Kewanee LSRC,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA
​Logan,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA
​Menard,1,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA
​North Lawndale ATC ,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,NA,NA,NA,NA,NA,NA,NA
​Parole,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
​Pontiac,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA
​Sheridan,0,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,5,10,7,NA,NA,NA,NA,NA,NA,NA
​Stateville,13,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,70,122,55,NA,NA,NA,NA,NA,NA,NA
​Stateville NRC,4,NA,2020-04-17,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,29,1,0,NA,NA,NA,NA,NA,NA,NA
El Dorado,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellsworth,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hutchinson,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lansing,30,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larned,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norton,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
